Table S6. Two population symmetrical test with qpWave, the outgroups was set as ANC5					
pop_fix	pop_test	p_rank0_tail	p_rank1_tail	p_rank0_taildiff	p_rank1_taildiff
NOR-KVN	FIN-PYO	4.45E-72	1	1	4.45E-72
NOR-KVN	FIN-RYT	2.29E-79	1	1	2.29E-79
NOR-KVN	RUS-MAS	2.87E-98	1	1	2.87E-98
NOR-KVN	RUS-KRU	1.48E-101	1	1	1.48E-101
NOR-KVN	RUS-BOL	8.07E-102	1	1	8.07E-102
NOR-KVN	RUS-LEV	6.34E-103	1	1	6.34E-103
NOR-ENG	SWE-FIS	1.63E-09	1	1	1.63E-09
NOR-ENG	DEN-RES	2.91E-38	1	1	2.91E-38
NOR-ENG	SWE-LUN	4.46E-51	1	1	4.46E-51
NOR-ENG	GER-RUE	7.07E-80	1	1	7.07E-80
NOR-ENG	NOR-ROY	1.63E-73	1	1	1.63E-73
NOR-ENG	POL-GDY	1.86E-94	1	1	1.86E-94
NOR-ENG	LAT-JAU	2.42E-85	1	1	2.42E-85
NOR-ENG	SWE-GOT	3.48E-95	1	1	3.48E-95
NOR-ENG	FIN-SEI	1.03E-97	1	1	1.03E-97
NOR-ENG	FIN-HEL	1.06E-98	1	1	1.06E-98
NOR-ENG	FIN-TVA	1.72E-97	1	1	1.72E-97
NOR-ENG	EST-PUR	1.07E-93	1	1	1.07E-93
NOR-ENG	SWE-BOL	7.18E-100	1	1	7.18E-100
NOR-ENG	FIN-HAM	1.40E-99	1	1	1.40E-99
NOR-ENG	FIN-KIV	4.05E-98	1	1	4.05E-98
NOR-ENG	SWE-BYN	1.67E-76	1	1	1.67E-76
NOR-ENG	SWE-ABB	1.04E-76	1	1	1.04E-76
NOR-ENG	SWE-HAN	1.90E-90	1	1	1.90E-90
NOR-ENG	SWE-NAV	5.74E-67	1	1	5.74E-67
NOR-ENG	SWE-KIR	1.64E-82	1	1	1.64E-82
NOR-ENG	FIN-RII	1.84E-92	1	1	1.84E-92
NOR-ENG	FIN-KEV	5.86E-78	1	1	5.86E-78
NOR-ENG	FIN-PUL	2.20E-73	1	1	2.20E-73
NOR-ENG	FIN-UKO	6.65E-87	1	1	6.65E-87
NOR-ENG	FIN-KAR	9.91E-90	1	1	9.91E-90
NOR-ENG	FIN-KRK	4.28E-89	1	1	4.28E-89
NOR-ENG	FIN-PYO	4.15E-77	1	1	4.15E-77
NOR-ENG	FIN-RYT	6.20E-77	1	1	6.20E-77
NOR-ENG	RUS-MAS	9.68E-97	1	1	9.68E-97
NOR-ENG	RUS-KRU	5.83E-99	1	1	5.83E-99
NOR-ENG	RUS-BOL	2.16E-102	1	1	2.16E-102
NOR-ENG	RUS-LEV	2.34E-101	1	1	2.34E-101
SWE-FIS	DEN-RES	4.96E-25	1	1	4.96E-25
SWE-FIS	SWE-LUN	9.30E-41	1	1	9.30E-41
SWE-FIS	GER-RUE	6.37E-58	1	1	6.37E-58
SWE-FIS	NOR-ROY	1.03E-59	1	1	1.03E-59
SWE-FIS	POL-GDY	5.15E-71	1	1	5.15E-71
SWE-FIS	LAT-JAU	1.62E-63	1	1	1.62E-63
SWE-FIS	SWE-GOT	1.05E-76	1	1	1.05E-76
SWE-FIS	FIN-SEI	1.53E-77	1	1	1.53E-77
SWE-FIS	FIN-HEL	2.31E-79	1	1	2.31E-79
SWE-FIS	FIN-TVA	6.62E-80	1	1	6.62E-80
SWE-FIS	EST-PUR	1.11E-76	1	1	1.11E-76
SWE-FIS	SWE-BOL	1.93E-79	1	1	1.93E-79
SWE-FIS	FIN-HAM	6.06E-79	1	1	6.06E-79
SWE-FIS	FIN-KIV	3.67E-79	1	1	3.67E-79
SWE-FIS	SWE-BYN	1.06E-67	1	1	1.06E-67
SWE-FIS	SWE-ABB	1.58E-66	1	1	1.58E-66
SWE-FIS	SWE-HAN	6.57E-80	1	1	6.57E-80
SWE-FIS	SWE-NAV	1.73E-60	1	1	1.73E-60
SWE-FIS	SWE-KIR	4.27E-73	1	1	4.27E-73
SWE-FIS	FIN-RII	1.30E-81	1	1	1.30E-81
SWE-FIS	FIN-KEV	5.81E-71	1	1	5.81E-71
SWE-FIS	FIN-PUL	1.55E-65	1	1	1.55E-65
SWE-FIS	FIN-UKO	5.90E-75	1	1	5.90E-75
SWE-FIS	FIN-KAR	1.97E-78	1	1	1.97E-78
SWE-FIS	FIN-KRK	1.50E-81	1	1	1.50E-81
SWE-FIS	FIN-PYO	1.98E-64	1	1	1.98E-64
SWE-FIS	FIN-RYT	1.44E-65	1	1	1.44E-65
SWE-FIS	RUS-MAS	1.54E-85	1	1	1.54E-85
SWE-FIS	RUS-KRU	7.47E-90	1	1	7.47E-90
SWE-FIS	RUS-BOL	2.86E-88	1	1	2.86E-88
SWE-FIS	RUS-LEV	3.13E-88	1	1	3.13E-88
DEN-RES	SWE-LUN	2.86E-09	1	1	2.86E-09
DEN-RES	GER-RUE	1.50E-13	1	1	1.50E-13
DEN-RES	NOR-ROY	4.49E-32	1	1	4.49E-32
DEN-RES	POL-GDY	2.32E-31	1	1	2.32E-31
DEN-RES	LAT-JAU	2.98E-35	1	1	2.98E-35
DEN-RES	SWE-GOT	2.05E-41	1	1	2.05E-41
DEN-RES	FIN-SEI	2.45E-41	1	1	2.45E-41
DEN-RES	FIN-HEL	1.15E-47	1	1	1.15E-47
DEN-RES	FIN-TVA	2.45E-44	1	1	2.45E-44
DEN-RES	EST-PUR	1.32E-46	1	1	1.32E-46
DEN-RES	SWE-BOL	2.21E-44	1	1	2.21E-44
DEN-RES	FIN-HAM	2.29E-42	1	1	2.29E-42
DEN-RES	FIN-KIV	6.81E-46	1	1	6.81E-46
DEN-RES	SWE-BYN	4.81E-38	1	1	4.81E-38
DEN-RES	SWE-ABB	9.62E-45	1	1	9.62E-45
DEN-RES	SWE-HAN	1.60E-52	1	1	1.60E-52
DEN-RES	SWE-NAV	7.50E-40	1	1	7.50E-40
DEN-RES	SWE-KIR	1.45E-42	1	1	1.45E-42
DEN-RES	FIN-RII	3.20E-49	1	1	3.20E-49
DEN-RES	FIN-KEV	2.00E-43	1	1	2.00E-43
DEN-RES	FIN-PUL	1.27E-37	1	1	1.27E-37
DEN-RES	FIN-UKO	3.49E-46	1	1	3.49E-46
DEN-RES	FIN-KAR	1.34E-45	1	1	1.34E-45
DEN-RES	FIN-KRK	5.73E-44	1	1	5.73E-44
DEN-RES	FIN-PYO	4.75E-39	1	1	4.75E-39
DEN-RES	FIN-RYT	1.74E-39	1	1	1.74E-39
DEN-RES	RUS-MAS	4.46E-57	1	1	4.46E-57
DEN-RES	RUS-KRU	1.39E-56	1	1	1.39E-56
DEN-RES	RUS-BOL	4.85E-56	1	1	4.85E-56
DEN-RES	RUS-LEV	1.45E-56	1	1	1.45E-56
SWE-LUN	GER-RUE	0.899587	1	1	0.899587
SWE-LUN	NOR-ROY	3.26E-16	1	1	3.26E-16
SWE-LUN	POL-GDY	1.70E-14	1	1	1.70E-14
SWE-LUN	LAT-JAU	7.50E-19	1	1	7.50E-19
SWE-LUN	SWE-GOT	1.56E-28	1	1	1.56E-28
SWE-LUN	FIN-SEI	7.19E-30	1	1	7.19E-30
SWE-LUN	FIN-HEL	6.95E-31	1	1	6.95E-31
SWE-LUN	FIN-TVA	1.06E-33	1	1	1.06E-33
SWE-LUN	EST-PUR	6.50E-33	1	1	6.50E-33
SWE-LUN	SWE-BOL	4.43E-33	1	1	4.43E-33
SWE-LUN	FIN-HAM	1.03E-30	1	1	1.03E-30
SWE-LUN	FIN-KIV	2.28E-32	1	1	2.28E-32
SWE-LUN	SWE-BYN	2.71E-34	1	1	2.71E-34
SWE-LUN	SWE-ABB	5.09E-34	1	1	5.09E-34
SWE-LUN	SWE-HAN	1.56E-41	1	1	1.56E-41
SWE-LUN	SWE-NAV	1.17E-28	1	1	1.17E-28
SWE-LUN	SWE-KIR	3.49E-34	1	1	3.49E-34
SWE-LUN	FIN-RII	1.21E-39	1	1	1.21E-39
SWE-LUN	FIN-KEV	1.07E-30	1	1	1.07E-30
SWE-LUN	FIN-PUL	5.55E-29	1	1	5.55E-29
SWE-LUN	FIN-UKO	4.92E-36	1	1	4.92E-36
SWE-LUN	FIN-KAR	1.12E-39	1	1	1.12E-39
SWE-LUN	FIN-KRK	1.90E-41	1	1	1.90E-41
SWE-LUN	FIN-PYO	3.69E-32	1	1	3.69E-32
SWE-LUN	FIN-RYT	9.62E-33	1	1	9.62E-33
SWE-LUN	RUS-MAS	2.05E-48	1	1	2.05E-48
SWE-LUN	RUS-KRU	2.24E-44	1	1	2.24E-44
SWE-LUN	RUS-BOL	4.40E-48	1	1	4.40E-48
SWE-LUN	RUS-LEV	6.55E-48	1	1	6.55E-48
GER-RUE	NOR-ROY	1.64E-27	1	1	1.64E-27
GER-RUE	POL-GDY	1.52E-60	1	1	1.52E-60
GER-RUE	LAT-JAU	1.28E-36	1	1	1.28E-36
GER-RUE	SWE-GOT	1.81E-67	1	1	1.81E-67
GER-RUE	FIN-SEI	1.34E-77	1	1	1.34E-77
GER-RUE	FIN-HEL	1.49E-73	1	1	1.49E-73
GER-RUE	FIN-TVA	1.11E-77	1	1	1.11E-77
GER-RUE	EST-PUR	7.23E-73	1	1	7.23E-73
GER-RUE	SWE-BOL	2.32E-78	1	1	2.32E-78
GER-RUE	FIN-HAM	4.78E-72	1	1	4.78E-72
GER-RUE	FIN-KIV	9.45E-71	1	1	9.45E-71
GER-RUE	SWE-BYN	4.06E-43	1	1	4.06E-43
GER-RUE	SWE-ABB	1.02E-44	1	1	1.02E-44
GER-RUE	SWE-HAN	5.01E-53	1	1	5.01E-53
GER-RUE	SWE-NAV	1.09E-38	1	1	1.09E-38
GER-RUE	SWE-KIR	3.16E-50	1	1	3.16E-50
GER-RUE	FIN-RII	1.02E-53	1	1	1.02E-53
GER-RUE	FIN-KEV	3.10E-42	1	1	3.10E-42
GER-RUE	FIN-PUL	5.91E-38	1	1	5.91E-38
GER-RUE	FIN-UKO	2.09E-51	1	1	2.09E-51
GER-RUE	FIN-KAR	2.61E-54	1	1	2.61E-54
GER-RUE	FIN-KRK	4.02E-53	1	1	4.02E-53
GER-RUE	FIN-PYO	1.37E-40	1	1	1.37E-40
GER-RUE	FIN-RYT	4.77E-41	1	1	4.77E-41
GER-RUE	RUS-MAS	5.36E-71	1	1	5.36E-71
GER-RUE	RUS-KRU	6.08E-69	1	1	6.08E-69
GER-RUE	RUS-BOL	1.78E-70	1	1	1.78E-70
GER-RUE	RUS-LEV	5.77E-72	1	1	5.77E-72
NOR-ROY	POL-GDY	0.00022	1	1	0.00022
NOR-ROY	LAT-JAU	0.948308	1	1	0.948308
NOR-ROY	SWE-GOT	0.001606	1	1	0.001606
NOR-ROY	FIN-SEI	0.005542	1	1	0.005542
NOR-ROY	FIN-HEL	7.98E-05	1	1	7.98E-05
NOR-ROY	FIN-TVA	0.000103	1	1	0.000103
