Table S8. Detailed results qpWave testing of triples for the Baltic sea populations.
pop_fix pop_fix2 pop_test prank0_tail prank1_tail prank2_tail prank0_taildiff prank1_taildiff prank2_taildiff
RUS-LEV NOR-ENG RUS-KRU 4.15986321e-101 0.035426289 1 1 3.44042143e-102 0.035426289
RUS-LEV NOR-ENG RUS-BOL 1.53288822e-103 0.317001075 1 1 9.96057328e-106 0.317001075
RUS-LEV FRA-VEY SCO-HAR 1.93773232e-203 0.134713747 1 1 1.31472945e-205 0.134713747
RUS-LEV FRA-VEY GBR-GRO 6.72090092e-179 0.183782558 1 1 3.82759263e-181 0.183782558
RUS-LEV FRA-VEY BEL-MAL 5.07398235e-164 0.631758025 1 1 6.93170227e-167 0.631758025
RUS-LEV FRA-VEY FRA-VEY NA NA NA NA NA NA
RUS-LEV FRA-VEY DEN-NOR 2.27298747e-184 0.509414611 1 1 3.52125707e-187 0.509414611
RUS-LEV FRA-VEY NOR-UGE 2.62290394e-62 0.7176585 1 1 1.18278216e-64 0.7176585
RUS-LEV FRA-VEY NOR-KVN 8.15949892e-106 0.716234558 1 1 1.7440045e-108 0.716234558
RUS-LEV FRA-VEY NOR-ENG 1.60497714e-106 0.746554498 1 1 3.18917891e-109 0.746554498
RUS-LEV FRA-VEY SWE-FIS 1.46600394e-89 0.489658619 1 1 6.75138014e-92 0.489658619
RUS-LEV FRA-VEY DEN-RES 3.38452798e-68 0.0299913392 1 1 5.80829445e-69 0.0299913392
RUS-LEV FRA-VEY SWE-LUN 8.66075715e-64 0.881535483 1 1 2.69316204e-66 0.881535483
RUS-LEV FRA-VEY GER-RUE 8.64559741e-79 0.448438801 1 1 5.35090276e-81 0.448438801
RUS-LEV FRA-VEY NOR-ROY 1.10973651e-62 0.0292624104 1 1 2.19555367e-63 0.0292624104
